Time(s),Velocity(mm/s),Acceleration(g),RPM,Temperature(C),Frequency(Hz)
0.000,2.34,0.15,3600,75.2,60.0
0.001,2.87,0.18,3600,75.2,60.1
0.002,1.92,0.09,3600,75.3,59.8
0.003,3.15,0.21,3600,75.3,60.2
0.004,2.56,0.14,3600,75.4,60.0
0.005,2.01,0.10,3600,75.4,59.9
0.006,3.48,0.23,3600,75.5,60.3
0.007,2.73,0.16,3600,75.5,60.1
0.008,1.85,0.08,3600,75.6,59.7
0.009,3.22,0.20,3600,75.6,60.4
0.010,2.41,0.12,3600,75.7,60.0
0.011,2.95,0.17,3600,75.7,60.2
0.012,1.77,0.07,3600,75.8,59.6
0.013,3.56,0.24,3600,75.8,60.5
0.014,2.68,0.15,3600,75.9,60.1
0.015,2.13,0.11,3600,75.9,59.8
0.016,3.41,0.22,3600,76.0,60.3
0.017,2.84,0.16,3600,76.0,60.2
0.018,1.98,0.09,3600,76.1,59.9
0.019,3.29,0.21,3600,76.1,60.4
0.020,2.52,0.13,3600,76.2,60.0
